Size,Ver1 min,Ver1 mean,Ver1 max,Ver1½ min,Ver1½ mean,Ver1½ max,Ver2-GP min,Ver2-GP mean,Ver2-GP max,Ver2½-GP min,Ver2½-GP mean,Ver2½-GP max,Ver2½-GPX min,Ver2½-GPX mean,Ver2½-GPX max,Ver3½-GP min,Ver3½-GP mean,Ver3½-GP max,Ver3½-GPX min,Ver3½-GPX mean,Ver3½-GPX max
10000,nan,nan,nan,nan,nan,nan,0.01370150000002468,0.013768833333718552,0.013850200000888435,0.009856700000455021,0.00998543333419851,0.010176800000408548,0.009854300000370131,0.009969633333336484,0.010100800000145682,0.020779499998752726,0.021047300000039588,0.021415400000478257,0.02080730000125186,0.020823633334051312,0.02084130000002915
20000,nan,nan,nan,nan,nan,nan,0.023697099999480997,0.023954766666065552,0.02412229999936244,0.01710329999878013,0.0171542666660874,0.017212999999173917,0.016785299998446135,0.016836033333068674,0.016898899999432615,0.03631680000034976,0.03691069999937705,0.03802009999890288,0.035935500000050524,0.03638566666692592,0.03708329999972193
30000,nan,nan,nan,nan,nan,nan,0.03453489999992598,0.03495396666645926,0.035166199999366654,0.025098499998421175,0.025333166666314355,0.025482999999439926,0.024868999998943764,0.025601833333591156,0.026351600001362385,0.04964050000126008,0.04977563333341095,0.0499242999994749,0.049186900001586764,0.04964596666771589,0.050123400000302354
40000,nan,nan,nan,nan,nan,nan,0.04647590000058699,0.046585333334102565,0.046801000000414206,0.03383119999853079,0.034253133332337406,0.03498099999887927,0.03400139999939711,0.034934033333532476,0.03627010000127484,0.06458310000016354,0.06481006666642013,0.06520409999939147,0.06435910000072909,0.06464743333344813,0.06522320000112813
50000,nan,nan,nan,nan,nan,nan,0.057836199999655946,0.05840993333307173,0.05946799999946961,0.043087100000775536,0.04334233333368805,0.04361640000024636,0.043104200000016135,0.043155966666139044,0.043239499998890096,0.08052370000041265,0.08178456666670779,0.08262470000045141,0.08074160000069242,0.08091216666677307,0.08102429999962624
60000,nan,nan,nan,nan,nan,nan,0.0704805999994278,0.07153943333287316,0.0728832999993756,0.05361730000004172,0.054724666666515986,0.05542239999886078,0.05385559999922407,0.054050366666463866,0.05424219999986235,0.09704149999924994,0.09726109999913508,0.09765759999936563,0.09656829999948968,0.09715199999967201,0.09775439999975788
70000,nan,nan,nan,nan,nan,nan,0.08573649999925692,0.0859680666665857,0.08614999999917927,0.06559700000070734,0.0656581000002916,0.06577389999984007,0.06596480000007432,0.06653496666694991,0.06708880000041972,0.11263440000038827,0.11364723333341924,0.11458119999952032,0.11389449999842327,0.11509539999921496,0.11734099999921455
80000,nan,nan,nan,nan,nan,nan,0.10265360000084911,0.10315806666706824,0.10376480000013544,0.07838700000138488,0.079325233333293,0.0810364999997546,0.08067699999992328,0.08098939999945287,0.08139719999962836,0.1328776000009384,0.13445303333355696,0.136037899999792,0.13409800000044925,0.1346218333340706,0.13535100000081002
90000,nan,nan,nan,nan,nan,nan,0.11950310000065656,0.12008986666720982,0.12056160000065574,0.0919889000015246,0.09222736666743003,0.09269730000050913,0.09524729999975534,0.09604730000016086,0.09718560000146681,0.1495575999997527,0.15147430000009385,0.1540074000004097,0.15293400000155088,0.15408930000072965,0.1561669000002439
100000,nan,nan,nan,nan,nan,nan,0.13697119999960705,0.13789229999990008,0.13881600000058825,0.10620270000072196,0.10661186666645033,0.10695129999839992,0.1102167000008194,0.1106065666675325,0.11111830000118061,0.17006820000096923,0.17054673333344303,0.17130589999942458,0.1755388999990828,0.1762394666657201,0.17724879999877885
125000,nan,nan,nan,nan,nan,nan,0.18526340000062191,0.18562030000066443,0.18627890000061598,0.14586189999863564,0.1472298666661421,0.1490825999990193,0.15645230000154697,0.15723213333391564,0.15839729999970587,0.21829600000091887,0.21993766666734396,0.22196380000059435,0.2329673999993247,0.23359806666667282,0.23463900000024296
150000,nan,nan,nan,nan,nan,nan,0.23686730000008538,0.24207490000056472,0.24517780000132916,0.19018920000053186,0.19196346666709965,0.19427419999919948,0.21139410000068892,0.21302676666649253,0.21446069999910833,0.27484220000042114,0.2779649333333509,0.27962269999989076,0.3044522000000143,0.3056222333337549,0.3070372000001953
175000,nan,nan,nan,nan,nan,nan,0.29469369999969786,0.2986131666669583,0.30278550000002724,0.24062279999998282,0.2419728666670077,0.2427255000002333,0.27692369999931543,0.27792119999988546,0.2790586999999505,0.33861289999913424,0.33987623333268857,0.34064869999929215,0.3873868999999104,0.3886828000001212,0.3901770000011311
200000,nan,nan,nan,nan,nan,nan,0.36717659999885655,0.3682109666666899,0.36907830000018294,0.30028200000015204,0.30265916666636866,0.30511119999937364,0.35806570000022475,0.36067200000070443,0.36240210000141815,0.4115211999996973,0.4119159999997161,0.41214120000040566,0.4837571999996726,0.4854153999998137,0.48659739999857266
