Size,Ver1 min,Ver1 mean,Ver1 max,Ver1½ min,Ver1½ mean,Ver1½ max,Ver2-GP min,Ver2-GP mean,Ver2-GP max,Ver2½-GP min,Ver2½-GP mean,Ver2½-GP max,Ver2½-GPX min,Ver2½-GPX mean,Ver2½-GPX max,Ver3½-GP min,Ver3½-GP mean,Ver3½-GP max,Ver3½-GPX min,Ver3½-GPX mean,Ver3½-GPX max
500000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8547008999958052,0.857526733331421,0.8603350999983377,0.8552182000057655,0.8587147333358492,0.8616134000039892,1.4321618999965722,1.4371082666669583,1.4461029000012786,1.4340916000001016,1.440246033334309,1.4444189999994705
750000,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.14251030000014,1.1447704999979276,1.1466073999981745,1.140574099998048,1.141281800000191,1.1419215999994776,2.069438700003957,2.073311266671226,2.0799653000067337,2.087654199996905,2.088296533334263,2.0887912000034703
1000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.4266579000031925,1.4325636000018374,1.4355930000019725,1.4221901999990223,1.4247316666660481,1.4279821000018273,2.629514799999015,2.634854133333041,2.6419986999972025,2.6139150000017253,2.627707133333994,2.6357394000006025
1250000,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.6974965999979759,1.716067800000019,1.7267925000051036,1.710715599998366,1.7137471666671142,1.719292800000403,3.201808300000266,3.2279098333334937,3.249336900000344,3.217366700002458,3.2500147666675425,3.28915219999908
1500000,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0215903999996954,2.025543566667087,2.028980999995838,2.0025109000052908,2.006901333334099,2.012136499994085,3.7101665000009234,3.7168963000003714,3.7221398999972735,3.704522399995767,3.712977499999397,3.7273500000010245
1750000,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.2774632000000565,2.310732066667697,2.3639161000028253,2.291685399999551,2.2984907333351052,2.306046800003969,4.313372000004165,4.347894200002581,4.394443400000455,4.309250699996483,4.347390333331229,4.401809099996171
2000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.6130586999934167,2.6235298333316073,2.6301285000008647,2.6197726000027615,2.626036166669413,2.631015600003593,4.77715540000645,4.812383500003004,4.845853999999235,4.769925600005081,4.794209333335554,4.806871700006013
