Size,Ver1 min,Ver1 mean,Ver1 max,Ver1½ min,Ver1½ mean,Ver1½ max,Ver2-GP min,Ver2-GP mean,Ver2-GP max,Ver2½-GP min,Ver2½-GP mean,Ver2½-GP max,Ver2½-GPX min,Ver2½-GPX mean,Ver2½-GPX max,Ver3½-GP min,Ver3½-GP mean,Ver3½-GP max,Ver3½-GPX min,Ver3½-GPX mean,Ver3½-GPX max
500000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.773376899996947,0.7749060000011619,0.7779140000056941,0.775340199994389,0.7767181999976552,0.777526999998372,1.1041863999998895,1.1100351333346528,1.1139408000017283,1.109103499999037,1.1102479666660656,1.111967500000901
750000,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.045807499998773,1.0469057000009343,1.0475574000010965,1.0466373000017484,1.0484047000015078,1.0496560000028694,1.5758229999992182,1.5774807999987388,1.5794676000004984,1.572263699999894,1.5745916333326022,1.5777969999980996
1000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.3055099999983213,1.3230103666646755,1.347279100002197,1.3010863000017707,1.3044923666675459,1.3069867000012891,2.03168170000572,2.032598166670747,2.033496300005936,2.0327125000039814,2.033321966669367,2.033943900001759
1250000,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.562451300000248,1.5686586666682463,1.5744435000015073,1.5684646000008797,1.5710047000005336,1.5743770000044606,2.476514699999825,2.4836266333344006,2.488122700000531,2.480806499996106,2.48345243333218,2.485246600001119
1500000,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.8144372000024305,1.8174576000019442,1.8230125000045518,1.8160700000007637,1.8235614666676458,1.828501200005121,2.9262659000014537,2.9340910666675577,2.9486266000021715,2.934558699998888,2.935527399999652,2.9369739000030677
1750000,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.103870900005859,2.1148955000001783,2.126388399999996,2.1060173000005307,2.1201286666643377,2.127954799994768,3.410364399998798,3.418913433335547,3.4294089000031818,3.413608299997577,3.420518600001136,3.4295514000041294
2000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.4118540000054054,2.4166464000009,2.4240497999999207,2.4147033999979612,2.4211504666648884,2.4279876000000513,3.804467100002512,3.8199460333344177,3.8294659000021056,3.8039466999980505,3.811470199999652,3.8160725999987335
