Size,Ver1 min,Ver1 mean,Ver1 max,Ver1½ min,Ver1½ mean,Ver1½ max,Ver2-GP min,Ver2-GP mean,Ver2-GP max,Ver2½-GP min,Ver2½-GP mean,Ver2½-GP max,Ver2½-GPX min,Ver2½-GPX mean,Ver2½-GPX max,Ver3½-GP min,Ver3½-GP mean,Ver3½-GP max,Ver3½-GPX min,Ver3½-GPX mean,Ver3½-GPX max
10000,nan,nan,nan,nan,nan,nan,0.01183830000081798,0.011987466667051194,0.012268100001165294,0.008696299999428447,0.008732233333527498,0.008776200000284007,0.008674000000610249,0.008771199999803988,0.008941199999753735,0.017014899998684996,0.017111166665927158,0.01718299999993178,0.01680080000005546,0.016839999999623007,0.016871699999683187
20000,nan,nan,nan,nan,nan,nan,0.0210810999997193,0.02124106666694085,0.02148720000150206,0.015262799999618437,0.01540036666604768,0.015492299999095849,0.015177799999946728,0.01523803333293472,0.015328199999203207,0.03050449999864213,0.030707399999907164,0.031087400000615162,0.030097100001512445,0.030239366667350016,0.03047320000041509
30000,nan,nan,nan,nan,nan,nan,0.030909499999324908,0.03101549999943624,0.03118449999965378,0.022202799998922274,0.02233436666635195,0.022400600000764825,0.022166700000525452,0.022332600000178598,0.02261039999939385,0.041439700000410085,0.042586300000039046,0.043687299999874085,0.041490599998724065,0.042322666666223085,0.04346079999959329
40000,nan,nan,nan,nan,nan,nan,0.04252749999977823,0.042969633333389844,0.04351859999951557,0.03115319999960775,0.03137430000000071,0.03152600000066741,0.03112899999905494,0.031251233333023265,0.03137640000022657,0.05475590000060038,0.055477466667070985,0.05633250000028056,0.0552096999999776,0.056039533333508494,0.057374100000743056
50000,nan,nan,nan,nan,nan,nan,0.05263609999929031,0.05300646666667793,0.05372850000094331,0.03916580000077374,0.039646900000661844,0.040123200000380166,0.03969219999999041,0.04068579999996776,0.041551100001015584,0.06936140000107116,0.0704965333340321,0.07207390000075975,0.06958099999974365,0.07204643333291945,0.07524849999936123
60000,nan,nan,nan,nan,nan,nan,0.06827080000039132,0.06930893333325609,0.07051719999981287,0.05278499999985797,0.054145100000217404,0.05616510000072594,0.05183190000025206,0.05373470000025312,0.054882000000361586,0.08469189999959781,0.08600566666609666,0.08811439999954018,0.08608819999972184,0.08652073333299388,0.08723939999981667
70000,nan,nan,nan,nan,nan,nan,0.07972159999917494,0.08032446666644925,0.08122860000003129,0.060369599999830825,0.06061863333282721,0.0609227999993891,0.061020399998596986,0.06449946666665103,0.06997240000055172,0.09803939999983413,0.09998413333354013,0.10314550000111922,0.09872960000029707,0.09968919999967814,0.10090469999886409
80000,nan,nan,nan,nan,nan,nan,0.0948143000005075,0.09509946666670051,0.09536630000002333,0.07237800000075367,0.07310776666660483,0.07405549999930372,0.0746132000003854,0.07488353333368043,0.07515520000015385,0.11523289999968256,0.11574769999970158,0.1166611999997258,0.11733370000001742,0.11864990000079463,0.12106120000134979
90000,nan,nan,nan,nan,nan,nan,0.11059980000027281,0.11084583333346625,0.11107980000087991,0.08521079999991343,0.08584866666630357,0.08637379999890982,0.0879955999989761,0.08894389999901857,0.09083209999880637,0.13092859999960638,0.13117543333343443,0.13150820000009844,0.13399109999954817,0.1347577666668561,0.13527220000105444
100000,nan,nan,nan,nan,nan,nan,0.12744939999902272,0.12843619999997222,0.1300427000005584,0.09938750000037544,0.10067746666694195,0.10136349999993399,0.10475769999902695,0.10540536666667322,0.10583340000084718,0.14834710000104678,0.14951123333351765,0.1507989000001544,0.15398129999994126,0.1553740333335251,0.1572680000008404
125000,nan,nan,nan,nan,nan,nan,0.17228389999945648,0.17437746666655585,0.17811350000010862,0.13635009999961767,0.13732046666700626,0.1383272000002762,0.14634420000038517,0.14789183333414258,0.150094500000705,0.1929770999995526,0.19407620000007833,0.19582059999993362,0.20675940000000992,0.2073524333336536,0.20821910000086064
150000,nan,nan,nan,nan,nan,nan,0.22620869999991555,0.22779136666698227,0.22985680000056163,0.18321520000063174,0.18336740000025506,0.1835637999993196,0.20314560000042547,0.20390816666683045,0.2051804999991873,0.24721329999920272,0.2487663333334543,0.24997670000084327,0.27543689999947674,0.27674030000040756,0.2777916000013647
175000,nan,nan,nan,nan,nan,nan,0.2796378000002733,0.28083063333300134,0.28158540000003995,0.22926250000091386,0.2306382333329869,0.23254289999931643,0.261989700000413,0.2645292666675232,0.26622730000053707,0.3020997999992687,0.3039589999995466,0.3075005999999121,0.35166100000060396,0.3530228333335496,0.35482430000047316
200000,nan,nan,nan,nan,nan,nan,0.3498848999988695,0.35070009999981266,0.3513302000010299,0.2898836999993364,0.2905473999999231,0.2915929999999207,0.3442837000002328,0.34526529999978567,0.34630699999979697,0.3729562000007718,0.37413923333406274,0.37504059999992023,0.44386019999910786,0.4452279999992849,0.44727989999955753
