Size,Ver1½@hashset min,Ver1½@hashset mean,Ver1½@hashset max,Ver2½-GP@hashset min,Ver2½-GP@hashset mean,Ver2½-GP@hashset max,Ver2½-GPX@hashset min,Ver2½-GPX@hashset mean,Ver2½-GPX@hashset max,Ver3½-GP@hashset min,Ver3½-GP@hashset mean,Ver3½-GP@hashset max,Ver3½-GPX@hashset min,Ver3½-GPX@hashset mean,Ver3½-GPX@hashset max,Ver1½@std_set min,Ver1½@std_set mean,Ver1½@std_set max,Ver2½-GP@std_set min,Ver2½-GP@std_set mean,Ver2½-GP@std_set max,Ver2½-GPX@std_set min,Ver2½-GPX@std_set mean,Ver2½-GPX@std_set max,Ver3½-GP@std_set min,Ver3½-GP@std_set mean,Ver3½-GP@std_set max,Ver3½-GPX@std_set min,Ver3½-GPX@std_set mean,Ver3½-GPX@std_set max,Ver1½@ord_vec min,Ver1½@ord_vec mean,Ver1½@ord_vec max,Ver2½-GP@ord_vec min,Ver2½-GP@ord_vec mean,Ver2½-GP@ord_vec max,Ver2½-GPX@ord_vec min,Ver2½-GPX@ord_vec mean,Ver2½-GPX@ord_vec max,Ver3½-GP@ord_vec min,Ver3½-GP@ord_vec mean,Ver3½-GP@ord_vec max,Ver3½-GPX@ord_vec min,Ver3½-GPX@ord_vec mean,Ver3½-GPX@ord_vec max
2500,0.141202,0.141765,0.142705,0.0402651,0.0406925,0.041472,0.0361508,0.0365548,0.0368595,0.0402666,0.0403827,0.0406005,0.0385657,0.0392091,0.0404322,0.190396,0.191952,0.193853,0.116985,0.11842,0.121637,0.118751,0.120287,0.121269,0.119928,0.120817,0.122201,0.132056,0.132627,0.133131,0.0415561,0.0419627,0.042621,0.0259492,0.026135,0.0264186,0.0251585,0.0252726,0.0253542,0.0260783,0.026236,0.02666,0.0273565,0.0274338,0.0276437
2550,0.173578,0.17444,0.175883,0.0467974,0.0470312,0.0474237,0.0416596,0.0417878,0.0420385,0.0472026,0.0473736,0.0476447,0.0446786,0.0450614,0.0461354,0.235782,0.236803,0.237984,0.136245,0.137945,0.140723,0.136915,0.139335,0.142021,0.13929,0.140078,0.14096,0.15221,0.15339,0.154781,0.0504741,0.0509049,0.0517007,0.0297963,0.0302089,0.030697,0.0285121,0.0286831,0.0290097,0.0299161,0.0302026,0.0308748,0.0309205,0.0311372,0.0315116
2600,0.21219,0.213903,0.218634,0.0543389,0.0554249,0.0580371,0.0481577,0.0485202,0.0493473,0.0543553,0.0545955,0.0548115,0.0512335,0.0517214,0.0526404,0.287591,0.289783,0.294278,0.160793,0.161934,0.162906,0.160869,0.161023,0.161461,0.165474,0.166055,0.16659,0.176677,0.177983,0.179196,0.0610158,0.0612674,0.0615508,0.0354653,0.0357749,0.0364383,0.0334142,0.0335277,0.0336137,0.0353448,0.0356377,0.0360919,0.0359834,0.036195,0.0362998
2650,0.255708,0.257347,0.259706,0.0632203,0.0642487,0.0655384,0.0548276,0.055281,0.0556812,0.0627798,0.0631873,0.0635168,0.0582826,0.0583594,0.0585196,0.351075,0.352378,0.353039,0.186216,0.187425,0.18882,0.184985,0.186313,0.189941,0.190181,0.190935,0.192252,0.202961,0.204099,0.205651,0.0742021,0.0747494,0.0759203,0.0410179,0.0413666,0.0416215,0.038522,0.0389034,0.0399449,0.0407464,0.041125,0.0416519,0.0415916,0.0417726,0.04209
2700,0.304197,0.305145,0.305945,0.0726439,0.0734576,0.0747661,0.0635544,0.0638253,0.064378,0.0720534,0.0724159,0.072893,0.067132,0.0675795,0.0684611,0.426872,0.4297,0.437778,0.221809,0.222325,0.223649,0.219534,0.22088,0.22493,0.22662,0.228043,0.230304,0.241151,0.242549,0.244604,0.0881957,0.0885431,0.0889965,0.0478247,0.0483143,0.0490376,0.0449573,0.0451097,0.0453029,0.0474523,0.0479276,0.0482709,0.0482252,0.0486024,0.0495503
2750,0.38537,0.388513,0.394165,0.0868651,0.0872464,0.0875867,0.0750362,0.0753728,0.0759529,0.0848124,0.0854714,0.0866746,0.0781878,0.0787399,0.0792009,0.535527,0.541706,0.550208,0.268559,0.269999,0.272742,0.263644,0.266181,0.270257,0.266383,0.268593,0.275789,0.281217,0.282956,0.288626,0.109378,0.11028,0.112058,0.0567734,0.05719,0.0576469,0.0526185,0.0532309,0.053628,0.0560058,0.05613,0.0563251,0.0559467,0.0561161,0.0565204
2800,0.487075,0.49025,0.495123,0.100397,0.100884,0.10151,0.0845053,0.0851945,0.0861708,0.100217,0.100884,0.102847,0.090649,0.0913634,0.0921989,0.67954,0.681989,0.685768,0.316659,0.319167,0.323178,0.301629,0.302411,0.302771,0.317546,0.318616,0.319189,0.331212,0.332363,0.334795,0.138172,0.138758,0.13972,0.0664621,0.0665051,0.0665567,0.0600478,0.0603537,0.0606,0.0662227,0.0668421,0.0675862,0.0651778,0.0656751,0.0660502
2850,0.650892,0.653307,0.655764,0.118033,0.118284,0.118744,0.100852,0.101516,0.10252,0.120011,0.120957,0.122158,0.107927,0.108557,0.110131,0.91388,0.917722,0.921332,0.373855,0.375488,0.380725,0.357323,0.358691,0.361277,0.380649,0.382466,0.384545,0.38946,0.391323,0.395146,0.183653,0.18424,0.18463,0.0775762,0.078024,0.0784821,0.071268,0.0719996,0.072593,0.0788131,0.0789324,0.0791108,0.0763247,0.0764993,0.0766776
2900,0.862858,0.865446,0.867114,0.138231,0.138568,0.139153,0.115313,0.116131,0.117223,0.139775,0.140701,0.141784,0.122915,0.123406,0.123761,1.20027,1.20466,1.20989,0.446267,0.448067,0.450545,0.42183,0.42265,0.42342,0.456872,0.458914,0.464403,0.458233,0.459308,0.461608,0.239457,0.240443,0.2424,0.0919436,0.0926224,0.0933146,0.0828683,0.0832468,0.0835264,0.0934464,0.0940252,0.0948536,0.0891255,0.0893363,0.0899646
2950,1.09796,1.10183,1.10695,0.16523,0.16628,0.167875,0.13626,0.136895,0.137761,0.164735,0.166146,0.169664,0.144655,0.145428,0.147439,1.60823,1.61151,1.61656,0.548035,0.549767,0.551676,0.509549,0.510356,0.510961,0.558747,0.560487,0.563918,0.552779,0.554297,0.556337,0.309143,0.311611,0.317223,0.111666,0.112445,0.113935,0.0988575,0.0994198,0.100217,0.112097,0.112532,0.113191,0.106034,0.10659,0.108178
3000,1.39378,1.39834,1.40958,0.195885,0.196684,0.198715,0.159096,0.160091,0.161202,0.196602,0.19888,0.203028,0.169962,0.170849,0.173086,2.00518,2.01631,2.04503,0.650942,0.653938,0.659847,0.599732,0.601395,0.604151,0.671656,0.674898,0.685594,0.661757,0.664463,0.668776,0.390225,0.391491,0.392575,0.13313,0.134083,0.135355,0.117242,0.117969,0.118882,0.135639,0.136963,0.138726,0.127215,0.128316,0.129724
