Size,Ver1 min,Ver1 mean,Ver1 max,Ver1½ min,Ver1½ mean,Ver1½ max,Ver2-GP min,Ver2-GP mean,Ver2-GP max,Ver2½-GP min,Ver2½-GP mean,Ver2½-GP max,Ver2½-GPX min,Ver2½-GPX mean,Ver2½-GPX max,Ver3½-GP min,Ver3½-GP mean,Ver3½-GP max,Ver3½-GPX min,Ver3½-GPX mean,Ver3½-GPX max
2000,0.03135869999823626,0.03159451999963494,0.0322978999975021,0.02482379999855766,0.025020359999325593,0.025260699992941227,0.0201225000055274,0.020246760001464283,0.02037949999794364,0.019944800005760044,0.020192420003877488,0.020561500001349486,0.02147310000145808,0.02148948000103701,0.0215094000013778,0.02172940000309609,0.021903439999732655,0.02210449999984121,0.024745599999732804,0.024819899999420157,0.024906800004828256
2050,0.036443100005271845,0.03678514000348514,0.03721360000054119,0.028949500003363937,0.029194399999687447,0.029543199998443015,0.022915900000953116,0.02320206000149483,0.023619799998414237,0.022722400004568044,0.022845139997662044,0.023131899994041305,0.024401900001976173,0.024524279999604916,0.024675799999386072,0.024567299995396752,0.024591519999376033,0.02463809999608202,0.027982799998426344,0.028222279998590238,0.029119799997715745
2100,0.04264140000304906,0.04288193999964278,0.043404299998655915,0.03360139999858802,0.033689159998903054,0.03375470000173664,0.025998500001151115,0.026336100000480655,0.027425400003266986,0.025866199997835793,0.0259128999983659,0.025952499992854428,0.02756519999820739,0.027691980000236073,0.028068600004189648,0.027907899995625485,0.028014380001695826,0.02824730000429554,0.03158139999868581,0.03171010000078241,0.03193269999610493
2150,0.05073390000325162,0.051220439998724034,0.052361000001837965,0.040055699995718896,0.04035027999780141,0.041016299997863825,0.03016149999893969,0.0303025000001071,0.03048049999779323,0.0298971000011079,0.029970080000930467,0.03012719999969704,0.03169769999658456,0.03178727999620605,0.031885799995507114,0.031311300001107156,0.03149093999818433,0.03184529999998631,0.03534149999904912,0.035534120000374966,0.03587089999928139
2200,0.060081499999796506,0.06059381999948528,0.061286799995286856,0.047611200003302656,0.04777000000176486,0.04806850000022678,0.03389199999946868,0.03404472000111127,0.03412480000406504,0.03367720000096597,0.03384214000252541,0.034151899999415036,0.035680900000443216,0.03611872000183212,0.03721590000350261,0.03590819999953965,0.03599901999841677,0.036123899997619446,0.04013709999708226,0.04024342000047909,0.04038610000134213
2250,0.0744120000017574,0.07477505999995629,0.07503010000073118,0.057778599999437574,0.057852039998397234,0.05797619999793824,0.03899529999762308,0.03916618000221206,0.0392476000051829,0.03898589999880642,0.03904402000043774,0.03906680000363849,0.04059320000669686,0.040675399999599904,0.040762399999948684,0.04114800000388641,0.041230120000545864,0.04132750000280794,0.04570930000045337,0.04620596000168007,0.04678480000438867
2300,0.08633679999911692,0.0870442399987951,0.08835509999335045,0.06729940000514034,0.06794851999875391,0.0696237999945879,0.044531899999128655,0.04481498000241117,0.045174700004281476,0.04424270000163233,0.044601260000490583,0.044897200001287274,0.045889899993198924,0.04626111999823479,0.04656009999598609,0.047154400002909824,0.0473985000004177,0.047735100000863895,0.0517591000025277,0.05218723999860231,0.052637099994171876
2350,0.10350740000285441,0.10767308000213234,0.11389430000417633,0.08102679999865359,0.08356956000061473,0.08675729999959003,0.051814300000842195,0.05273231999890413,0.053498299996135756,0.05148840000038035,0.052114899997832254,0.05295320000004722,0.053178800000750925,0.05370074000238674,0.054419700005382765,0.053532199999608565,0.05380344000004698,0.0541192000018782,0.05894360000093002,0.06110371999820927,0.06736649999947986
2400,0.12619360000098823,0.1279746200001682,0.13002660000347532,0.09841489999962505,0.09975332000176422,0.10149880000244593,0.06004229999962263,0.060587300000770485,0.06162220000260277,0.06006169999454869,0.0616131199974916,0.06532689999585273,0.060548900000867434,0.06198756000085268,0.06496899999910966,0.062484599999152124,0.06369220000051427,0.06776700000045821,0.06717639999988023,0.06831597999989754,0.0692369999960647
2450,0.15198400000372203,0.15678038000187372,0.16018690000055358,0.1177529999986291,0.12019283999688923,0.12485739999829093,0.07015310000133468,0.07111798000114504,0.07190420000551967,0.06987060000392376,0.0706767800002126,0.07266710000112653,0.07103980000101728,0.07298596000182442,0.0778652000008151,0.07167540000227746,0.07257230000104756,0.0732343000054243,0.07829099999798927,0.07923507999948924,0.08042919999570586
